time_s,T_ring_bulk_C,T_steel_bulk_C,T_surface_peak_C,mu_effective,Q_fric_W,wear_rate_m_per_s,wear_depth_m,tau_fric_Nm,phi_rel_dot_rad_per_s
52.0,105.02813161057252,106.55785615664206,340.7113350653573,0.3905515361132626,97.74165880416021,4.0398749819186066e-11,1.5184102247329143e-09,73.81424032540663,1.3241572137472482
52.5,105.06955263928954,106.54208921427522,235.20321122169725,0.215644982393277,135.64300956716477,4.406441948846701e-11,1.540442434477148e-09,40.756901672329356,3.3280991439851135
53.0,105.00999086159325,106.51864885293352,281.0766363324216,0.29176071030506523,87.13303965870196,2.9677493922613e-11,1.5552811814384544e-09,55.14277424765732,1.5801352189385667
53.5,104.8168819882495,106.4794283702496,131.6419099121173,0.25648958830535484,9.334889795959105,1.743608063129044e-12,1.556152985470019e-09,46.92155838036176,0.1989467127303698
54.0,104.8008683907688,106.45307402943712,336.46126639257255,0.3838853298409605,98.95809144299467,4.014062686567385e-11,1.576223298902856e-09,72.55432733994154,1.3639171510658845
54.5,104.84442663445981,106.43445629788718,236.76822514511275,0.21861143010183423,138.15330251865683,4.478992563140205e-11,1.598618261718557e-09,41.317560289246664,3.3436945829207807
55.0,104.78572502944425,106.40816390107656,280.5563750468192,0.2912702151092507,88.92420868523284,3.021546526479144e-11,1.6137259943509527e-09,55.05007065564838,1.6153332343835751
55.5,104.58641549076695,106.36538562558904,124.37273289663325,0.2578869201673777,6.885476241658938,1.2195013820414806e-12,1.6143357450419734e-09,48.74062791163438,0.14126769671786227
56.0,104.54085074094743,106.332655338531,340.3820271289047,0.3929147772790631,82.07079586940837,3.362340966726842e-11,1.6311474498756077e-09,74.26089290574292,1.1051684494768776
56.5,104.57346116030952,106.30848699339072,235.7055428357893,0.21729947311206538,128.91564234585846,4.1715827446171685e-11,1.6520053635986935e-09,41.06960041818035,3.138955359516747
57.0,104.50098888124711,106.27594649838483,281.82865960263086,0.2938503600614447,76.79080240923484,2.6122126149890496e-11,1.6650664266736387e-09,55.537718051613055,1.3826783869274317
57.5,104.30659176254782,106.2284928563842,116.07353215774366,0.25845345942728404,4.094798787778285,7.114485190588361e-13,1.6654221509331682e-09,48.847703831756675,0.08382786633905585
58.0,104.29125716055664,106.19421395814358,347.7039462475272,0.4033600962599542,94.34823408308571,4.008362986062647e-11,1.6854639658634815e-09,76.23505819313134,1.2375964066829603
58.5,104.33159373788648,106.167404841839,233.27268764191018,0.21366877891237585,130.91161679691308,4.230906903955907e-11,1.706618500383261e-09,40.38339921443904,3.2417186107034244
59.0,104.2753883856723,106.13353689722733,283.4627326710795,0.2969320322232792,84.21010603473385,2.8713826656087963e-11,1.720975413711305e-09,56.12015409019977,1.5005323381576285
59.5,104.0857525513467,106.08420020685861,121.556733102068,0.2577420422278476,6.079757998060379,1.0711714020591676e-12,1.7215109994123346e-09,48.713245981063196,0.12480708020204251
60.0,104.04687387670498,106.0450969868299,333.71121647547693,0.3980889953243971,79.92130835075055,3.054629586966693e-11,1.736784147347168e-09,75.23882011631106,1.062235003515484
60.5,104.10224895327909,106.01669426486198,238.44978261382172,0.2226278108707876,136.14327738647023,4.3889052436279094e-11,1.7587286735653075e-09,42.07665625457886,3.2356011504990936
61.0,104.04640551028304,105.98027075139598,280.6075251102046,0.29258010527193096,82.00857371912475,2.775194203398633e-11,1.7726046445823006e-09,55.29763989639495,1.4830393100460548
61.5,103.85140192655105,105.9277454054053,104.23421417014333,0.2599760488793857,0.13321552233309047,2.6498436720457216e-14,1.772617893800661e-09,41.664682756076466,0.003197324772949628
62.0,103.807897103045,105.88528772102411,314.77374302310875,0.41575674241276056,73.41438480378409,2.2966416717246462e-11,1.7841011021592843e-09,78.57802431601174,0.9342864680402068
62.5,103.86361465645145,105.85387238676611,245.82111473451357,0.2352383152706176,131.61518818355083,4.24349954381119e-11,1.8053185998783402e-09,44.46004158614672,2.960302858208768
63.0,103.8203484883528,105.8158020908668,276.4727103695142,0.286102887935358,84.18154874569525,2.8208332861048426e-11,1.8194227663088643e-09,54.07344581978266,1.556800153373943
63.5,103.6374503175583,105.76211360577635,111.73179174147941,0.2620845389946025,2.816764455105758,5.267014093239162e-13,1.8196861170135263e-09,44.991184513068056,0.06260703036808479
64.0,103.61492864739323,105.71996630428856,339.1059417701642,0.4061268795731759,81.94894192389211,3.213147693557681e-11,1.8357518554813146e-09,76.75798023933025,1.0676276482051315
64.5,103.6802327037599,105.68845158707666,235.10786626834192,0.2177892332757004,135.0422947853209,4.340654879097836e-11,1.8574551298768038e-09,41.162165089107376,3.2807383793583966
65.0,103.63892112473438,105.64976190880603,280.4619748707725,0.29301415734533615,83.49124613683195,2.8179767570888314e-11,1.871545013662248e-09,55.379675738268524,1.5076152943080114
65.5,103.46632383489421,105.59635881513533,122.18882442946,0.257598424462105,6.515276712891886,1.352752255100222e-12,1.8722213897897983e-09,41.39030757061766,0.1574106861075123
66.0,103.4608027257257,105.55557795114808,340.9035798488395,0.39346733235583276,89.8998836443488,3.694253385699615e-11,1.8906926567182962e-09,74.36532581525239,1.2088951760621516
66.5,103.52936655867845,105.52452246169872,233.61441910009668,0.2155644371372106,135.99045909802535,4.367473539706218e-11,1.912530024416827e-09,40.7416786189328,3.3378707924623927
67.0,103.49148567653707,105.48630690440116,280.34449989398126,0.2930638049568706,84.11762778141637,2.8360336279348392e-11,1.9267101925565014e-09,55.38905913684855,1.5186686521175377
